Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
99,MV,1605693564,85,6.62,73.07,79.88,16.37
100,PG,1605693668,78,-3.67,152.43,81.0,4.18
0,NO,1605693668,75,71.04,27.85,41.0,21.92
100,MV,1605693669,83,5.67,73.0,79.9,14.32
90,CA,1605693669,93,47.67,-52.73,41.0,9.17
90,FR,1605693670,100,47.88,-3.92,59.0,14.99
65,CL,1605693656,89,-35.33,-72.42,51.94,5.12
22,ML,1605693670,16,22.68,-3.98,80.92,17.16
0,ET,1605693670,16,8.98,40.17,88.77,12.57
1,US,1605693453,75,64.84,-147.72,-2.0,1.72
34,RU,1605693670,95,71.97,102.5,6.12,12.41
0,IS,1605693671,49,64.25,-15.21,24.8,17.22
40,BR,1605693671,74,-8.01,-34.86,82.4,4.7
100,PG,1605693671,73,-2.57,150.8,82.51,3.13
20,SA,1605693671,17,18.39,42.45,75.2,5.82
0,PK,1605693671,22,29.9,69.53,65.88,4.97
0,MG,1605693671,26,-25.17,45.05,94.41,11.48
75,CA,1605693672,91,62.46,-114.35,5.0,9.17
29,AU,1605693672,15,-34.2,142.15,82.4,8.46
63,IN,1605693672,67,15.32,78.23,83.73,7.94
99,ID,1605693672,75,-5.12,120.25,81.99,5.73
20,MY,1605693672,70,3.17,113.03,87.8,8.05
100,ZA,1605693672,89,-34.0,24.73,66.0,7.0
100,CA,1605693673,73,50.63,-96.99,26.6,16.11
14,CN,1605693673,55,38.93,100.45,41.88,5.03
0,MA,1605693673,21,29.58,-9.5,77.32,1.86
84,ID,1605693673,100,-3.42,114.85,75.2,6.93
75,US,1605693673,87,28.02,-97.52,64.4,5.82
100,RU,1605693674,94,56.79,105.77,13.23,4.0
0,AU,1605693674,72,-35.35,150.47,64.4,10.29
0,CL,1605693674,83,-30.6,-71.2,46.81,1.16
100,PG,1605693674,79,-6.22,155.63,80.94,8.1
95,IN,1605693660,25,22.3,70.78,87.01,10.29
75,NC,1605693453,73,-22.28,166.46,71.6,11.41
99,GB,1605693674,91,54.33,-2.75,55.99,5.99
20,US,1605693669,59,41.28,-70.1,37.4,18.34
9,PF,1605693675,85,-22.43,-151.33,76.75,11.72
100,ID,1605693675,84,-3.8,102.27,82.24,6.67
0,KZ,1605693675,88,47.8,67.71,14.02,9.75
40,RU,1605693675,100,61.25,73.42,24.8,8.95
1,US,1605693536,51,43.8,-91.24,35.6,8.05
0,SE,1605693675,70,65.58,22.15,42.8,14.99
1,US,1605693676,24,36.17,-115.14,68.0,4.7
50,BR,1605693580,92,-8.16,-70.35,71.94,2.06
27,NZ,1605693676,74,-35.17,173.17,59.22,11.41
0,RU,1605693676,93,66.83,70.83,19.09,19.86
40,MY,1605693627,94,2.3,111.82,78.8,2.24
20,MY,1605693449,74,5.35,115.75,86.0,4.7
29,ZA,1605693676,27,-29.66,17.89,69.51,12.41
80,RU,1605693676,91,52.27,79.17,9.93,8.41
90,NG,1605693677,24,7.38,8.57,88.68,8.52
81,AR,1605693677,73,-27.8,-64.26,63.88,7.0
40,US,1605693575,94,22.08,-159.32,75.2,11.41
31,RU,1605693677,90,70.63,147.92,-15.16,10.22
75,SE,1605693677,87,57.64,18.3,55.0,18.34
1,US,1605693678,52,34.88,-76.9,43.0,9.17
18,KE,1605693679,54,-1.37,38.01,79.56,10.16
27,UY,1605693679,80,-33.7,-53.46,58.71,4.18
100,PH,1605693679,85,14.05,124.17,81.32,8.52
90,CN,1605693679,85,43.8,87.6,23.0,2.24
34,PK,1605693680,33,25.26,63.47,77.74,10.67
88,AU,1605693632,20,-20.73,139.5,95.0,5.82
77,ES,1605693680,87,42.78,-9.06,64.0,18.99
0,AR,1605693659,52,-43.25,-65.31,60.1,4.21
64,ID,1605693681,83,-2.53,112.95,81.28,4.43
14,TC,1605693636,78,21.46,-71.14,80.31,12.24
0,RU,1605693682,63,56.88,60.02,26.6,15.66
0,AR,1605693682,93,-38.0,-57.56,59.0,8.68
20,IS,1605693682,68,63.44,-20.27,30.2,5.82
75,US,1605693648,93,34.64,-120.46,53.6,5.06
96,AR,1605693682,66,-33.3,-66.34,59.34,8.81
1,US,1605693682,63,33.19,-82.53,35.6,3.36
6,PE,1605693682,83,-8.38,-74.55,72.34,0.85
75,IS,1605693683,67,66.04,-17.34,21.2,6.71
0,TM,1605693683,45,42.06,59.38,26.6,18.34
